maand,Stadium,min,max,2017-2019,2020,2021
jan,IV,11,24,18.33333333333333,25,34
feb,IV,38,45,41.0,54,53
mrt,IV,54,72,63.0,74,76
apr,IV,74,96,84.33333333333333,88,97
mei,IV,92,117,102.6666666666667,102,113
jun,IV,114,133,121.3333333333333,123,134
jul,IV,136,157,144.0,140,159
aug,IV,150,178,162.3333333333333,161,184
sep,IV,162,197,177.3333333333333,183,208
okt,IV,182,224,198.6666666666667,201,227
nov,IV,190,248,217.3333333333333,228,245
dec,IV,201,272,235.6666666666667,241,274
