maand,min,max,2017-2019,2020,2021,2022
jan,650,696,670.0,764,664,634.0
feb,614,695,653.6666666666666,697,634,657.0
mrt,652,737,689.3333333333334,624,759,724.0
apr,595,649,628.6666666666666,491,713,639.0
mei,666,701,680.0,584,640,711.0
jun,651,709,673.0,733,786,766.0
jul,678,735,713.3333333333334,748,776,684.0
aug,634,684,653.0,621,711,685.0
sep,615,689,656.6666666666666,738,742,715.0
okt,683,752,728.3333333333334,698,640,
nov,691,722,703.3333333333334,686,742,
dec,599,674,627.0,727,726,
