maand,min,max,2017-2019,2020,2021,2022
jan,62,75,67.66666666666667,74,88,73.0
feb,51,70,63.0,63,56,75.0
mrt,51,104,75.0,66,74,89.0
apr,54,69,63.33333333333334,43,72,75.0
mei,61,83,70.33333333333333,48,66,92.0
jun,65,74,70.66666666666667,59,86,82.0
jul,65,69,67.0,81,84,64.0
aug,65,88,75.66666666666667,75,79,80.0
sep,69,75,72.0,67,80,96.0
okt,77,90,83.0,71,63,
nov,49,82,67.0,79,96,
dec,49,71,57.66666666666666,73,85,
