maand,min,max,2017-2019,2020,2021,2022
jan,115,125,120.0,111,109,124.0
feb,104,114,108.3333333333333,110,104,97.0
mrt,106,112,109.3333333333333,95,124,109.0
apr,94,129,113.3333333333333,111,106,112.0
mei,116,122,119.0,102,104,109.0
jun,108,126,119.6666666666667,131,124,104.0
jul,127,131,129.6666666666667,104,136,126.0
aug,99,125,116.0,139,107,122.0
sep,102,122,109.0,107,125,132.0
okt,93,138,119.0,129,95,
nov,94,114,104.6666666666667,119,107,
dec,106,121,111.3333333333333,144,113,
