maand,min,max,2017-2019,2020,2021,2022
jan,23,45,30.66666666666667,38,33,43.0
feb,34,41,38.33333333333334,41,33,31.0
mrt,32,51,38.66666666666666,28,26,42.0
apr,30,41,37.33333333333334,30,37,19.0
mei,26,42,34.33333333333334,31,42,43.0
jun,30,44,38.33333333333334,29,48,33.0
jul,30,41,36.0,36,39,32.0
aug,31,40,36.0,42,31,41.0
sep,26,41,34.0,41,41,38.0
okt,35,43,39.0,36,42,
nov,32,35,33.33333333333334,36,35,
dec,26,37,31.0,37,38,
