maand,min,max,2017-2019,2020,2021,2022
jan,386,431,406.0,421,421,409.0
feb,367,401,383.0,401,382,404.0
mrt,395,406,402.0,370,463,446.0
apr,344,439,393.0,310,425,384.0
mei,379,454,412.0,334,379,429.0
jun,384,433,412.6666666666667,426,445,420.0
jul,415,435,424.0,420,458,445.0
aug,395,413,404.3333333333333,447,404,466.0
sep,368,427,396.3333333333333,416,447,495.0
okt,365,451,417.0,416,398,
nov,359,417,391.3333333333333,424,448,
dec,363,379,368.3333333333333,443,420,
