maand,cstadium,min,max,2017-2019,2020,2021
jan,IV,38,43,39.66666666666666,35,37
feb,IV,64,71,67.66666666666667,77,67
mrt,IV,106,108,107.0,116,105
apr,IV,132,140,136.0,143,147
mei,IV,164,177,170.0,171,181
jun,IV,192,210,201.6666666666667,215,216
jul,IV,226,245,238.0,248,263
aug,IV,267,286,276.6666666666667,288,300
sep,IV,296,321,307.0,329,345
okt,IV,336,357,346.0,361,378
nov,IV,376,393,384.3333333333333,407,416
dec,IV,406,436,416.3333333333333,438,463
