maand,cstadium,min,max,2018-2019,2020,2021
jan,IV,255,277,266.0,292,314.0
feb,IV,472,542,507.0,546,585.0
mrt,IV,706,789,747.5,793,915.0
apr,IV,944,1072,1008.0,983,1204.0
mei,IV,1192,1362,1277.0,1176,1432.0
jun,IV,1426,1625,1525.5,1411,1738.0
jul,IV,1679,1909,1794.0,1663,2044.0
aug,IV,1924,2156,2040.0,1908,2318.0
sep,IV,2162,2423,2292.5,2238,2604.0
okt,IV,2445,2719,2582.0,2548,
nov,IV,2731,3029,2880.0,2854,
dec,IV,2961,3295,3128.0,3154,
