maand,cstadium,min,max,2018-2019,2020,2021
jan,IV,31,37,34.0,32,27
feb,IV,59,64,61.5,61,53
mrt,IV,92,97,94.5,88,85
apr,IV,106,120,113.0,111,117
mei,IV,138,148,143.0,134,142
jun,IV,170,174,172.0,165,177
jul,IV,200,207,203.5,188,197
aug,IV,221,243,232.0,214,228
sep,IV,252,277,264.5,251,262
okt,IV,294,302,298.0,276,295
nov,IV,330,332,331.0,310,336
dec,IV,360,364,362.0,331,371
